statement,originator,true_verdict,predicted_verdict,correct
"Says President Barack Obama’s recent New York fundraising trip ""cost between $25 million and $50 million.""",Donald Trump,pants-fire,mostly-false,False
"Says Jon Huntsman supports changes in Medicare that would deny guaranteed benefits to 980,000 New Hampshire residents.",New Hampshire Democratic Party,half-true,mostly-false,False
Video shows man diving off a high bridge and into a swimming pool on a moving boat.,Facebook posts,false,true,False
"""What did Joe Manchin say about civility? Today, he said he wanted to ‘beat the living crap out of’ his Republican opponent during their debate.""",West Virginia Republican Party,mostly-true,true,False
"""The Arab and the Muslim nations get twice as much money as Israel.""",Ron Paul,mostly-true,mostly-false,False
"All members of Congress are required to be in Obamacare, but Obama and members of his administration ""have their own gold-plated health care plans that they're in.""",Sean Duffy,half-true,mostly-false,False
"The 5-4 decisions the Supreme Court reaches ""are going up.""",Stephen Carter,false,true,False
"""Minnesota has passed and Indiana has passed"" right to work laws making union membership and dues optional",Jeff Fitzgerald,half-true,true,False
"""New Jersey's citizens are working at the highest rate in three years.""",Jennifer Beck,false,mostly-false,False
"""SHOCK REPORT: Senator McCaskill BUSTED Funneling Millions of Tax Dollars to Her Hubby.""",Bloggers,mostly-false,mostly-false,True
"After Ronald Reagan cut taxes in 1981 the U.S. enjoyed ""exponential growth.""",John Loughlin,mostly-false,mostly-false,True
"Says Erv Nelson voted ""yes on the pro-amnesty SJR 21, a bill urging Congress to provide citizenship for those residing illegally in our country.""",Victoria Seaman,mostly-true,true,False
"The Dow Jones Industrial Average ""jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.""",Donald Trump,true,mostly-false,False
"""Cuomo opens New York 72 hours before his daughter's wedding.""",Facebook posts,false,mostly-false,False
"The  Georgia Department of Economic Development assisted with the creation of 28,776 jobs, an increase of 29 percent from last fiscal year, and $5.97 billion in investments, a 32 percent increase.",Nathan Deal,half-true,true,False
"Says a car driving former University of Missouri System President Tim Wolfe ""ran through the students, hit one of them"" at the MU Homecoming Parade.",Juan Williams,mostly-false,mostly-false,True
"""Foxconn is bringing 13,000 high-tech jobs to Wisconsin.""",Scott Walker,half-true,true,False
"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",Facebook posts,false,mostly-false,False
"Retired U.S. presidents and members of Congress collect full salaries ""for life.""",Viral image,false,mostly-false,False
"""America has more governors who’ve worn blackface than black governors.""",Samuel Sinyangwe,true,true,True
"Legislators are ""ramming through a provision that’ll make investigations like #NC09 less transparent.""",North Carolina Democratic Party,mostly-false,mostly-false,True
"The average person ""will pay $6,000 more a year"" under Rep. Paul Ryan's Medicare proposal.",Tim Ryan,true,mostly-false,False
"Because of violence spreading from Mexico, ""you’ve got bullets hitting the city hall in El Paso. You’ve got bombs exploding in El Paso.""",Rick Perry,half-true,false,False
"""Of all the jobs President Obama claims to have created since he started, only 38.5 percent are women. So 61.5 percent have gone to men.""",Eric Bolling,half-true,pants-fire,False
"Says she ""voted for a statewide fracking ban.""",Dana Young,half-true,true,False
"""President-elect Biden steps down as president-elect.""",Viral image,pants-fire,false,False
"Michigan election bills are ""designed to make it easier for people to vote.""",Michael MacDonald,mostly-false,mostly-false,True
"Says Democratic opponent is ""too Republican to stand up for us.""",Vincent Fort,mostly-false,true,False
"""A $250 fine if you're caught with a plastic bag coming out of a store. Plastic bag police anyone?""",Victoria Taft,false,mostly-false,False
"Four years after Gov. Andrew Cuomo promised universal pre-K, ""79 percent of 4-year olds outside New York City lack full-day pre-K.""",Cynthia Nixon,mostly-true,true,False
"""DEVELOPING: Kamala’s sister takes hydroxychloroquine.""",Paul Sperry,half-true,true,False
"""By 2006, the American people were overwhelmingly against the Iraq War.""",Hillary Clinton,mostly-true,mostly-false,False
"""Already we've identified $2 trillion in deficit reductions over the next decade.""",Barack Obama,mostly-false,true,False
"Florida ""unemployment has dropped more than 2 percentage points, down from 12 percent to 9.9 percent, the second-largest drop in the nation.""",Rick Scott,true,true,True
"""We did not even have a federal income tax in this country until 1913.""",Jim Webb,half-true,true,False
"""Trump: ‘I am sending troops to South Africa and they will not leave until the killing stop and the land issue resolved.’ """,Bloggers,pants-fire,false,False
"""Virginia women are paid 80 cents for every dollar paid to Virginia men.""",Tim Kaine,true,mostly-false,False
"""Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month.""",Charlie Crist,false,mostly-false,False
"""Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.""",Mike Pence,false,mostly-false,False
Regulations on developers have thwarted construction on county-owned land in Milwaukee’s downtown Park East corridor.,Jeff Stone,mostly-false,true,False
"ICE is in Uvalde, Texas, ""so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive.""",Tweets,false,mostly-false,False
Says Republican lawmakers delayed COVID-19 testing,Janet Bewley,mostly-false,mostly-false,True
"""Obamacare … means that for up to 20 million Americans, they will lose the insurance they currently have, the insurance that they like and they want to keep.""",Mitt Romney,false,mostly-false,False
"""There is no added safety to the public if you're vaccinated.""",Viral image,pants-fire,mostly-false,False
"""The cost-of-living increase in Social Security is tied to wage inflation.""",Rick Santorum,false,true,False
"""Coronavirus — 22. Clintons — 39.""",Facebook posts,pants-fire,false,False
"""Most of these killers tend to be 18, 19 years old.""",Chris Murphy,mostly-true,true,False
"""We cut business taxes so today 70 percent of our businesses don't pay a business tax.""",Rick Scott,mostly-true,mostly-false,False
"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",Bill Clinton,true,mostly-false,False
"""Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.""",Facebook posts,false,mostly-false,False
"President Obama’s uncle and aunt ""are illegal aliens ...  who've been allowed to stay in this country.""",Michele Bachmann,half-true,true,False
"""The DNC omitted ‘one nation under God’ from the Pledge of Allegiance.""",Peggy Hubbard,mostly-false,false,False
"The result of lockdowns ""has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.""",Ron DeSantis,mostly-false,mostly-false,True
"""D.A.R.E. removed cannabis from its list of gateway drugs.""",Viral image,false,mostly-false,False
"Video shows Joe Biden stuttering after being asked about touching women ""without their permission"" on The View.",Social  Media,false,true,False
"Wisconsin’s Government Accountability Board ""ignored their duties and did not regularly audit"" voters to remove felons ""for a span of 16 elections.",Scott Walker,half-true,mostly-false,False
"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents.",Mike Dudgeon,true,mostly-false,False
"The push for high-speed internet for rural areas, from the start, ""was a Democratic thing.""",Jon Erpenbach,half-true,mostly-false,False
"40 percent of U.S. gun sales ""are occurring outside of"" licensed gun dealers.",Tom Barrett,half-true,mostly-false,False
"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.",American Unity PAC,false,mostly-false,False
"""The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.""",Ted Cruz,mostly-false,mostly-false,True
"""President Trump has the strongest support percentage-wise in our state than any other state in the nation. He won West Virginia by almost 43 percentage points and he's been carrying close to 60 percent approval.""",Joe Manchin,mostly-true,mostly-false,False
"""One out of every 30 people in the Greater Boston area is an illegal alien.""",Jeff Sessions,true,pants-fire,False
"Says Anthropology is a STEM (science, technology, engineering, math) field.",Frank Brogan,half-true,false,False
"""I’ve been in and out of Iraq and Afghanistan over 40 times.""",Joe Biden,false,mostly-false,False
"""The average rate of fraud"" in the Earned Income Tax Credit, Medicare, Medicaid and food stamps programs ""is 20 to 25 percent.""",Ron Johnson,pants-fire,mostly-false,False
"""We are 49th in the nation for our graduation rate""",Dennis Richardson,mostly-true,mostly-false,False
"Video shows Biden saying ""salute the Marines"" after hearing the words in an earpiece before his inauguration.",Tweets,false,false,True
"""Texas women make an average of $8,355 less per year than men doing the very same job.""",Wendy Davis,mostly-false,mostly-false,True
"In 2006, Arizona had four ballot issues that were ""very tough on illegal immigration... Forty-seven percent of the Hispanics in Arizona voted for them.""",Tom Tancredo,mostly-false,true,False
"Says that Wall Street hedge fund managers ""pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.""",Sherrod Brown,true,true,True
"""You can be an NFL player with murder charges and not be suspended.""",Donald Trump,half-true,mostly-false,False
"""We got to almost universal coverage in health care in Colorado.""",John Hickenlooper,mostly-true,true,False
"""Gov. Romney was very clear, he would veto the DREAM Act.""",David Plouffe,true,mostly-false,False
"""Barack Obama has consistently voted against tougher penalties for criminals.""",Republican Party of Florida,false,true,False
"""The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twenty-fold.""",Richard Burr,mostly-true,true,False
"""Wendy Davis’ legal work is currently under FBI investigation.""",Greg Abbott,mostly-false,false,False
"Alex Sink was ""the first official who said that BP should pay $25 million for an ad campaign to promote Florida tourism.""",James Carville,mostly-false,mostly-false,True
"Says U.S. Rep. Tammy Baldwin, a candidate for Senate, supports raising taxes ""by $858 billion.""",U.S. Chamber of Commerce,mostly-false,mostly-false,True
"Says Texas has ""the fourth-lowest debt per capita of any state in the nation, and we are the lowest of any of the big states.""",Rick Perry,mostly-true,mostly-false,False
"""The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.""",Chain email,false,true,False
"""We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators"" due to the coronavirus.",Sonia Sotomayor,false,mostly-false,False
"Says ""the latest polls show us tied neck-and-neck"" with Sen. Ted Cruz.",Beto O'Rourke,half-true,mostly-false,False
"""No governor in Virginia has ever won when...he or she is the same party as the sitting president.""",Joe Biden,false,mostly-false,False
"""I'm running for office with much more experience and qualifications than Barack Obama had when he ran.""",Marco Rubio,half-true,mostly-false,False
"On Gov. Tony ""Evers’ watch…the efficiency of the state crime lab has plummeted.""",Republican Party of Wisconsin,mostly-false,mostly-false,True
"""WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.""",Facebook posts,false,mostly-false,False
"Says Ted Cruz’s wife Heidi ""will be the very first pro-life first lady.""",James Dobson,mostly-true,mostly-false,False
"A waiver in the American Health Care Act ""doesn’t apply to things like maternity coverage.""",John Faso,false,mostly-false,False
"Shows a waitress saying, ""I lost my job. But I'll sleep better knowing"" that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: ""Thanks, Democrats""",Facebook posts,mostly-false,mostly-false,True
"Says Donald Trump ""spent the least amount of money of any of the competitive primary contenders that he beat so badly.""",Michael Caputo,mostly-true,mostly-false,False
Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.,Facebook posts,false,mostly-false,False
"""Muslims’ disturbing plan comes out after grocery stores go bare to prepare for Irma.""",Freedom Daily,mostly-false,pants-fire,False
John Kitzhaber is the only pro-choice candidate in the race for governor.,Planned Parenthood PAC,mostly-false,true,False
"""Moderna chief medical officer admits: mRNA alters DNA.""",Facebook posts,false,mostly-false,False
"Access for 12,000 women to use Planned Parenthood -- ""not for the right to choose,"" but for ""basic health care"" -- was ""taken away"" by Wisconsin Gov. Scott Walker and Lt. Gov. Rebecca Kleefisch.",Mahlon Mitchell,mostly-true,true,False
"""There hasn’t been a Republican in the legislature or the City Council in Providence in over 30 years.""",Bernard Jackvony,mostly-false,mostly-false,True
"""Kamala Harris wants the riots to continue and not let up, not now not even after the election.""",YouTube videos,false,pants-fire,False
"Says ""Did you know that if you accepted the District's proposal today you would have NO pay increase for 4 years? Seven years of frozen wages = Disrespect.""",Portland Association of Teachers,mostly-false,true,False
High-speed rail would have cost Florida taxpayers $1 billion to build.,Rick Scott,false,mostly-false,False
Says city of Portland has a one-time $22 million surplus,Sam Adams,half-true,mostly-false,False
"Charcoal activated tablets ""will counteract most date rape drugs.""",Facebook posts,false,false,True
"""I'm the first person who really took up the issue of the war. Four years ago I said that there was no proof that Iraq had weapons of mass destruction, and, actually... did an analysis which disproved the cause for the war.""",Dennis Kucinich,mostly-true,true,False
"""Factories are opening their doors at the fastest pace in almost two decades.""",Barack Obama,mostly-true,true,False
"""Mayor Andrew Gillum says he’s indefinitely suspending his campaign for governor in light of a fatal shooting in Tallahassee at a yoga studio on Friday.""",Bloggers,false,true,False
"Cuyahoga County ""passed a program to guarantee a college savings account for every single child who enters kindergarten in this county -- the first county in the United States to do so.""",Ed FitzGerald,true,mostly-false,False
"""In Rhode Island, a recent study showed that among a group of people who had been homeless for a year or more, Medicaid costs averaged about $60,000 per person.""",Anne Nolan,false,mostly-false,False
"""First NFL team declares bankruptcy over kneeling thugs.""",Bloggers,pants-fire,false,False
"A new bill ""was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt.""",Chain email,false,false,True
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",John Thune,mostly-true,mostly-false,False
"Half of illegal immigrants ""come on legal visas and then overstay.""",Ken Cuccinelli,mostly-true,true,False
"Sen. Jim Webb ""persists on negating"" Sen. Mark Warner’s votes",George Allen,false,true,False
"""She [Hillary Clinton] has also said unequivocally that she didn't receive classified documents.""",David Cicilline,half-true,mostly-false,False
"Donald Trump’s decision to skip the Fox News/Google debate in Des Moines ""is near unprecedented.""",Fox News Channel,half-true,true,False
"""NASA announced that it communicated with four races of aliens.""",Bloggers,pants-fire,false,False
"Ketanji Brown Jackson has ""a weak record — defund police, abolish ICE and now a completely open border policy.""",Mick McGuire,pants-fire,mostly-false,False
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,pants-fire,true,False
Says Joe Biden owns a private island next to Jeffrey Epstein’s.,Facebook posts,pants-fire,false,False
"The state budget proposal has been submitted ""on time and [it's] the earliest that a governor has done so in over two decades.""",Lincoln Chafee,true,mostly-false,False
"""40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?""",Facebook posts,mostly-false,true,False
"Loranne Ausley ""voted six times to tax your savings.""",Republican Party of Florida,false,mostly-false,False
"""In Joe Biden’s America, your children are more likely to have access to a crack pipe than a mask-free education.""",Troy Nehls,pants-fire,pants-fire,True
"Rhode Island is ""almost dead last"" among Northeastern states in the length of time first-degree murderers must spend in prison before they’re eligible for parole.",Leonidas Raptakis,true,true,True
"""(George) Soros Provides Migrants With Prepaid Debit Cards To Fund Illegal Journeys""",Bloggers,false,mostly-false,False
"""When the Affordable Care Act was signed, 17 million American children"" had a pre-existing condition and were ""uninsurable.""",Tammy Baldwin,false,mostly-false,False
"""Facebook said that if you support the NRA you will get kicked off.""",Facebook posts,false,mostly-false,False
"Says Tennessee’s higher education funding model ""is 100 percent outcomes-based"" and ""we are already seeing this model changing the way our postsecondary institutions do business.""",Bill Haslam,true,true,True
"""The average CEO makes $10,000 more every day ... than what the average worker makes every year.""",Joe Biden,half-true,mostly-false,False
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,pants-fire,false,False
"Hillary Clinton ""agrees with (John McCain) in embracing the Bush-Cheney policy of not talking to leaders we don't like.""",Barack Obama,mostly-false,true,False
"""The Congressional Budget Office estimates that for every $1 we spend on unemployment benefits, $1.90 is put into our economy.""",James Langevin,half-true,mostly-false,False
"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.""",Barack Obama,true,true,True
"Says state Sen. Sheila Harsdorf wants to ""eliminate Medicare"" as we know it.",Shelly Moore,pants-fire,mostly-false,False
"In Rhode Island ""there are 150 different pension plans for public workers.""","Kernan ""Kerry"" King",true,mostly-false,False
"In Wisconsin, teachers make $89,000 in salary and benefits, compared to $48,000 for all other workers in the United States.",Eric Bolling,mostly-false,mostly-false,True
"""13,000 Floridians are able to vote -- but their governor won't tell them.""",American Civil Liberties Union of Florida,false,true,False
"A 1993 example of voter fraud in Philadelphia is ""exactly what happened to us"" in the 2020 election.",Donald Trump,pants-fire,mostly-false,False
"""George Bush, and a Republican Congress, have presided over a 55 percent increase in the size of domestic government spending in the last seven years.""",John McCain,mostly-true,mostly-false,False
"John Cornyn ""voted twice in 2013 to back Obama’s amnesty plan.""",Steve Stockman,pants-fire,mostly-false,False
"Says that unless the recipient called back about ""your tax filings,"" you ""will be taken into custody by the local cops as there are more serious allegations pressed on your name.""",Anonymous Caller,pants-fire,false,False
Says Obama Foundation posted picture of George Floyd before he died.,Facebook posts,false,false,True
"""75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.""",William G. Batchelder,mostly-true,mostly-false,False
"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",Hillary Clinton,true,true,True
"Says Joe Biden ""will destroy your protections for pre-existing conditions.""",Donald Trump,pants-fire,mostly-false,False
"Texas is ""the state that has now gone the longest without electing a Democrat statewide.""",Joaquin Castro,true,mostly-false,False
"""I didn't campaign on a public option.""",Barack Obama,mostly-false,mostly-false,True
"Says Rep. Ilhan Omar, D-Minn., was ""speaking about how wonderful al-Qaida is.""",Donald Trump,false,mostly-false,False
"Video shows ""Russian tank column totally destroyed by attack helicopter.""",Facebook posts,false,mostly-false,False
"""You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related.""",Charles Schumer,mostly-false,mostly-false,True
A video shows a nurse pretending to vaccinate actor Anthony Hopkins before squirting fluid in the syringe on the floor.,Instagram posts,false,mostly-false,False
"Rick Santorum ""reformed welfare.""",Rick Santorum,half-true,true,False
"""Georgia’s civil forfeiture laws are among the worst in the country and the very worst in the South.""",Americans for Prosperity Georgia chapter,mostly-true,true,False
"""Democrats very much are in the pocket of the NRA.""",Nia-Malika Henderson,mostly-false,mostly-false,True
There were more job losses per month in the last three months under President Bush than in the past three months under President Obama.,Steny Hoyer,mostly-true,true,False
"The Providence teacher contract ""is one of the longest in the country.""",Angel Taveras,false,mostly-false,False
"""Under the Obama plan . . . all the health care in this country is eventually going to be run by the government.""",Tom Coburn,false,mostly-false,False
"Says the initial Portland plastic bag ban represented ""only a modest share of total single-use checkout bag use.""",Sam Adams,mostly-false,true,False
"In England, ""official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.""",Bloggers,false,false,True
"Says Brendan Kelly ""allowed half of the criminals he faced to walk free"" and ""failed to protect women who were violently assaulted,"" allowing ""those guilty of sexual assault to cut inexcusable plea deals.""",Mike Bost,mostly-false,true,False
About 3 percent of Gov. Nathan Deal’s appointments have been African-American.,Vincent Fort,half-true,mostly-false,False
"""We’ve got a police station that’s under construction right now, they are actually ahead of schedule and under budget.""",Rick Kriseman,mostly-false,true,False
"""In Boone County (Missouri) with a 1.7% unemployment rate, we can’t find enough people, we can’t fill all the job openings.""",Cheri Toalson Reisch,mostly-true,true,False
"""Among the developed nations, we are the least economically and socially mobile country in the world.""",Jeb Bush,true,mostly-false,False
"Transmission of COVID-19 by asymptomatic individuals ""has never been proven.""",Instagram posts,false,mostly-false,False
"""Florida spends more than $300 million a year just on children repeating pre-K through 3rd grade.""",Alex Sink,mostly-true,mostly-false,False
"There was ""serious voter fraud"" in Virginia.",Donald Trump,pants-fire,pants-fire,True
"Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""",Cory Booker,true,true,True
"America’s federal business tax rate is the highest ""in the world.""",Donald Trump,mostly-true,mostly-false,False
A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,Bloggers,pants-fire,false,False
"""Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.""",Jeb Bush,mostly-true,mostly-false,False
"""Virtually no Republican"" in Washington accepts climate change science.",Jerry Brown,mostly-true,mostly-false,False
"""Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether.""",Crossroads GPS,mostly-false,mostly-false,True
"""I haven't raised taxes in the time I've been the governor of New Jersey.""",Chris Christie,half-true,mostly-false,False
"Quotes Robert Mueller as saying, ""We must move as quickly as possible to a one-world government; a one-world religion; under a one world leader.""",Viral image,pants-fire,false,False
"""Between the year 2000 and 2006, (insurance) premiums in this country doubled.""",Chris Van Hollen,mostly-true,mostly-false,False
"Metro Atlantans spend ""over an hour every day"" or ""five hours a week"" commuting, for a total of ""260 hours a year.""",Metro Atlanta Voter Education Network,half-true,mostly-false,False
"When COVID-19 struck, the Illinois Department of Employment Security ""was hit with something no one expected: 10 to 20 times the claims, even during the worst recession of my lifetime.""",JB Pritzker,mostly-true,true,False
"""Jon Corzine, elected governor. Teams up with Barbara Buono. $1.2  billion sales tax increase? Passed. Most spending in state history? Passed. After Buono named budget chair, taxes and fees increase 23 times in just two years. State debt? Up $13.4 billion. Unemployment? Doubled.""",Chris Christie,half-true,true,False
"""More than 200,000 DACA recipients are essential infrastructure workers"" including ""41,700 DACA recipients in the healthcare industry""",Richard Durbin,mostly-true,true,False
"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.""",Barack Obama,mostly-true,true,False
"Says his budget ""calls for one of the largest increases in national defense spending in American history.""",Donald Trump,mostly-false,mostly-false,True
"""At Texas A&M University, only 49 out of 3,000 faculty members brought in enough money to pay for their salaries and overhead over the past five years.""",Dick Armey,false,mostly-false,False
"""The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.""",John Kasich,half-true,true,False
"The Manchin-Toomey amendment ""would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members"" to get government approval.",National Rifle Association,mostly-false,true,False
"Says Texas Republican leaders ""have proposed laying off thousands of teachers.""",Boyd Richie,mostly-false,true,False
"Democrats and Joe Biden ""want to abolish the suburbs altogether by ending single-family home zoning.""",Patricia McCloskey,false,pants-fire,False
Georgia’s unemployment rate has exceeded the national rate for 50 consecutive months.,Buddy Carter,true,mostly-false,False
"The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia.",Motion Picture Association of America,mostly-true,true,False
"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",Facebook posts,false,false,True
"Says that several times in the last 15 years, Austin City Council candidates have won seats after trailing by more than 4,000 votes in the election prompting the runoff.",Randi Shade,half-true,mostly-false,False
"""Sen. Obama has never taken on his party leaders on a single major issue.""",John McCain,true,true,True
"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",Mitt Romney,true,mostly-false,False
"Says Marjorie Taylor Greene said ""246 years ago Jesus Christ performed his miracle of making a single days worth of bullets last 8 days.""",Viral image,pants-fire,pants-fire,True
"""More preschoolers are shot dead each year than police officers are in the line of duty.""",Nicholas Kristof,mostly-true,mostly-false,False
"Says that each year, about 25,000 American women become pregnant through rape or incest.",Wendy Davis,half-true,true,False
"Water rates in Manila, Philippines, ""were raised up to 845 percent"" when a subsidiary of the World Bank became a partial owner.",Gwen Moore,half-true,mostly-false,False
"Quotes Andy Borowitz as saying ""stopping Hillary is a short-term solution. The long-term solution — and it will be more difficult — is fixing the educational system that has created so many people ignorant enough to vote for Hillary.""",Facebook posts,false,true,False
Says Mitt Romney's comments indicated he would not have pursued Osama bin Laden.,Barack Obama,half-true,mostly-false,False
"""We have killed lots of innocent people in the state of Texas.""",Farouk Shami,false,false,True
"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""",Chain email,pants-fire,false,False
Says opponent Tammy Baldwin ‘has had not one positive ad’ in the campaign for U.S. Senate.,Tommy Thompson,half-true,mostly-false,False
"""The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.""",Mark Pocan,true,true,True
"Virginia’s economic growth ""has stalled at less than 1% per year for eight years.""",Glenn Youngkin,mostly-true,mostly-false,False
"Says Tammy Baldwin’s ""Medicare for All"" plan means senior citizens would ""no longer have"" Medicare.",Leah Vukmir,mostly-false,mostly-false,True
The InterLink at T.F. Green Airport is the closest air-rail link in the country.,Lincoln Chafee,false,mostly-false,False
"""Six of Georgia’s counties have no lawyers at all.""",Hugh Thompson,true,mostly-false,False
"Says Democrat Hank Gilbert ""has a criminal conviction for theft, has multiple years of unpaid taxes, has multiple tax liens and fines, unsafe driving convictions (and) has recently been accused of taking a bribe and is on record lying to the press this year about his criminal record.""",Todd Staples,half-true,mostly-false,False
"""Sanctuary cities are extremely dangerous.""",Pat Toomey,mostly-false,mostly-false,True
"The president's health care proposals will cause ""most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.""",Nancy Pfotenhauer,pants-fire,mostly-false,False
"After Arizona banned smoking in ""all public places"" in 2007, ""admissions for acute myocardial infarction … stroke, asthma, [and] angina decreased following the implementation of the ban.""",Richard Morrison,half-true,true,False
"""They’re unable to administer vaccines if the lockdown ends because the emergency ends with it.""",Tweets,false,mostly-false,False
"""Over 50% of the people now in the House and state Senate have not been born in Virginia.""",Denver Riggleman,true,mostly-false,False
Says most Texas schools spend 45 out of 180 school days in mandated testing.,Ted Lyon,false,mostly-false,False
"""Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.""",Michael Solomon,mostly-false,true,False
Says Maggie Hassan is the only female governor in the country.,NH AFL-CIO,false,mostly-false,False
"""No private business was conducted on public property. That issue is a contract dispute.""",Bruce Rauner,false,mostly-false,False
"""He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.""",Katie McGinty,mostly-false,true,False
We’ve reduced crime to its lowest level in 27 years.,Keith Pekau,true,mostly-false,False
"""Gas prices have never been higher, and Exxon Mobil's profits have never been higher.""",Barack Obama,false,true,False
"""We’ve brought in more than $81 billion in economic investment, more than four times any previous administration.""",Ralph Northam,mostly-true,true,False
"""Texas’ high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.""",Rick Perry,mostly-false,mostly-false,True
"""We’re … getting into the pool of the 100 million people that are not working. That pool is now coming back.""",Donald Trump,mostly-true,mostly-false,False
"Wisconsin women ""are paid 81 cents to the dollar of a man doing the same job.""",Kathleen Falk,false,mostly-false,False
"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",Donald Trump,false,mostly-false,False
"""Ronald Reagan’s signature on the 1986 amnesty act"" gave Barack Obama about 15 million additional Hispanic votes in 2012.",Steve King,false,pants-fire,False
Says Donald Trump is for a single-payer health care system.,Rick Perry,half-true,false,False
"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""",Rob Wittman,false,true,False
"Quotes Kurt Cobain saying in 1993 that he wouldn’t be surprised if his generation eventually elected a ""true outsider"" a ""business tycoon who can’t be bought"" … ""someone like Donald Trump""",Facebook posts,pants-fire,false,False
"""13 percent of Americans, the lowest ever, are without health care.""",Donny Deutsch,half-true,mostly-false,False
"Says LeBron James ""stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season.""",Alan Grayson,mostly-true,false,False
"""Now in half the homes in California, people speak a language other than English in their own homes.""",Pat Buchanan,mostly-false,true,False
"Says he ""led the effort to build a new (University of Wisconsin-Milwaukee) engineering campus in Wauwatosa.""",Jim Sullivan,false,mostly-false,False
"The Koch Brothers are ""spending more money than either the Democratic or Republican parties"" in the 2016 elections.",Bernie Sanders,false,mostly-false,False
"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",Donald Trump,mostly-false,true,False
The city of Atlanta has either the highest or second-highest average water bills in the country.,Carla Smith,true,mostly-false,False
"In the United Kingdom, ""70-plus percent of the people who die now from COVID are fully vaccinated.""",Alex Berenson,false,mostly-false,False
